ID,2012,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-acid battery storage_Cumulative Total Capacity_IN,40,Lead-acid battery storage,India,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,IN
