ID,1967,1970,1985,1987,1990,1992,1994,1998,2002,2003,2006,2007,2009,2014,2015,2016,2017,2018,2019,2020,2021,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_AU,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,1,3,7,Australia,National,AU,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
