ID,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Paraxylene_Price_World,0.175,0.16,0.135,0.135,0.125,0.11,0.084,0.082,0.082,0.07,0.07,0.057,PCDB,Price,Paraxylene,Global,World,World,1958 USD
Paraxylene_Annual production_World,,105.0,160.0,210.0,290.0,200.0,300.0,300.0,470.0,480.0,600.0,1400.0,PCDB,Annual production,Paraxylene,Global,World,World,million pounds
