ID,1951,1957,1966,1975,1976,1979,1982,1983,1986,1987,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_FR,11000,59000,299000,609000,1409000,1889000,2799000,3244000,3992000,5812000,Pumped Hydro Storage,France,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,FR
Pumped Hydro Storage_Cumulative Rated Capacity_FR,11000,59000,299000,609000,1409000,1889000,2799000,3244000,3992000,5812000,Pumped Hydro Storage,France,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,FR
