ID,2012,2013,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-ion battery storage_Cumulative Total Capacity_DK,1200,1600,Lithium-ion battery storage,Denmark,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,DK
