ID,2013,2014,2015,2016,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_CA,1900,9900,18852,19762,43562,Lithium-Ion Battery Storage,Canada,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,CA
Lithium-Ion Battery Storage_Cumulative Rated Capacity_CA,1900,9900,18852,19762,43562,Lithium-Ion Battery Storage,Canada,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,CA
