ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Soybean Production_Price_CN,22.56,27.66,33.96,38.43,43.46,83.85,73.74,63.2,49.51,50.14,41.46,46.56,63.62,79.0,69.31,69.31,88.49,73.32,83.85,105.34,109.34,111.87,88.48,112.56,106.03,81.4,84.94,83.18,86.48,111.83,181.1,250.37,producer price index,Price,National,Soybean Production,FAOSTAT,"China, mainland",CN
Soybean Production_Price_CO,15.6,15.6,16.89,19.98,20.31,26.34,28.86,33.65,39.08,45.3,48.01,50.92,60.56,67.61,58.13,60.01,69.02,83.34,75.69,71.14,81.95,84.35,83.2,83.98,88.99,127.03,63.4,,72.1,120.96,81.79,72.57,producer price index,Price,National,Soybean Production,FAOSTAT,Colombia,CO
Soybean Production_Price_HR,,2.32,32.32,80.56,72.08,76.92,80.69,81.58,72.63,67.12,66.95,65.09,67.67,68.14,65.6,65.34,102.74,108.85,86.08,97.23,103.25,149.88,128.15,99.31,102.03,98.66,113.43,95.43,92.24,107.83,178.05,248.26,producer price index,Price,National,Soybean Production,FAOSTAT,Croatia,HR
Soybean Production_Price_CZ,,,54.01,55.79,56.24,60.97,67.04,71.29,54.87,63.36,74.17,71.31,75.22,74.4,58.45,66.22,78.44,104.1,69.79,74.7,105.44,112.22,111.02,101.83,98.99,99.19,103.24,97.6,98.65,98.63,98.55,98.49,producer price index,Price,National,Soybean Production,FAOSTAT,Czechia,CZ
Soybean Production_Price_CI,14.13,11.4,12.97,35.12,52.56,47.27,65.75,61.85,51.3,57.59,56.99,57.21,73.18,64.88,62.01,62.6,70.19,87.05,84.03,103.86,107.57,99.39,102.75,100.37,98.74,100.89,98.77,98.17,102.24,103.11,102.39,102.39,producer price index,Price,National,Soybean Production,FAOSTAT,Côte d'Ivoire,CI
Soybean Production_Price_EC,2.42,3.28,3.65,3.94,4.88,6.36,6.01,10.39,19.03,32.2,38.47,43.38,38.81,41.01,31.86,46.08,60.79,79.53,82.75,85.67,84.53,98.75,97.3,98.13,101.41,100.46,97.79,106.43,99.64,86.04,91.89,91.86,producer price index,Price,National,Soybean Production,FAOSTAT,Ecuador,EC
Soybean Production_Price_EG,19.54,18.64,18.39,20.11,24.13,24.13,24.13,24.13,19.88,24.13,25.28,26.43,26.43,42.52,42.52,43.85,44.89,49.67,50.93,53.3,65.89,94.67,96.85,97.95,100.46,101.59,123.12,129.17,142.2,142.61,141.42,153.34,producer price index,Price,National,Soybean Production,FAOSTAT,Egypt,EG
Soybean Production_Price_SV,46.34,39.96,46.93,56.21,60.29,62.73,69.82,68.04,57.06,58.0,60.29,56.23,57.12,62.32,71.0,73.3,80.73,88.37,87.42,88.71,106.87,95.95,91.62,97.63,102.07,100.3,93.07,94.06,96.31,98.25,97.49,98.95,producer price index,Price,National,Soybean Production,FAOSTAT,El Salvador,SV
Soybean Production_Price_ET,,,32.44,25.77,22.98,27.22,21.53,20.69,17.78,15.73,13.43,18.27,17.88,20.0,18.02,35.08,34.35,53.95,76.22,45.73,77.66,190.77,97.26,94.72,103.79,101.49,121.81,124.48,122.2,144.36,125.59,135.12,producer price index,Price,National,Soybean Production,FAOSTAT,Ethiopia,ET
Soybean Production_Price_FR,125.22,42.53,54.55,43.0,49.32,56.02,58.88,46.85,48.75,59.14,67.28,57.96,63.22,59.45,60.36,61.59,99.32,110.96,92.0,119.13,103.81,132.54,127.2,102.48,99.29,98.23,99.15,92.91,92.31,99.42,138.86,178.31,producer price index,Price,National,Soybean Production,FAOSTAT,France,FR
