ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Titanium Sponge_Price_World,6.25,5.84,5.72,5.66,5.58,4.44,3.39,2.53,2.02,1.7,1.55,1.4,1.3,1.23,1.21,1.19,1.16,1.12,1.08,PCDB,Price,Titanium Sponge,Global,World,World,1958 USD/lb
Titanium Sponge_Annual production_World,,500.0,1075.0,2241.0,5370.0,7400.0,14600.0,17250.0,4500.0,3898.0,5311.0,6727.0,6730.0,7879.0,8000.0,9150.0,16100.0,19211.0,14000.0,PCDB,Annual production,Titanium Sponge,Global,World,World,net tons
