ID,2007,2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Metric,Unit
Geothermal Energy_Total Installed Cost_World,2187.09421669,3337.387932723,5774.622802991,2713.991062008,5508.931426577,3964.834129262,3742.799193475,3665.28644431,3849.441719312,4014.153680434,4353.791116589,4126.796684502,3483.186033342,3991.189525016,Geothermal Energy,World,World,Global,IRENA,Total Installed Cost,2021 USD/kW
