ID,2014,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sensible heat storage_Cumulative Total Capacity_CL,110000,210000,Sensible heat storage,Chile,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,CL
