ID,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow battery storage_Cumulative Total Capacity_KZ,25000,Flow battery storage,Kazakhstan,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,KZ
