ID,1999,2001,2004,2005,2006,2007,2008,2010,2013,2015,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sodium-Based Battery Storage_Cumulative Rated Power_JP,6000,8400,26000,28000,30000,31000,66500,70500,70900,75100,125100,Sodium-Based Battery Storage,Japan,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,JP
Sodium-Based Battery Storage_Cumulative Rated Capacity_JP,6000,8400,26000,28000,30000,31000,66500,70500,70900,75100,125100,Sodium-Based Battery Storage,Japan,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,JP
