ID,2013,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-acid battery storage_Cumulative Total Capacity_MG,15,Lead-acid battery storage,Madagascar,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,MG
