ID,2013,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Electro-Chemical Capacitor_Cumulative Rated Power_ES,4000,4300,4350,Electro-Chemical Capacitor,Spain,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,ES
Electro-Chemical Capacitor_Cumulative Rated Capacity_ES,4000,4300,4350,Electro-Chemical Capacitor,Spain,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,ES
