ID,2012,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sodium-based battery storage_Cumulative Total Capacity_KR,198,Sodium-based battery storage,South Korea,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,KR
