ID,2006,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flywheel battery storage_Cumulative Total Capacity_GB,400000,401000,Flywheel battery storage,United Kingdom,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,GB
