ID,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Phthalic Anhydride_Price_World,21.43784994,20.2478355,19.84008307,20.14285714,16.58513932,17.94376278,17.99693878,14.27123849,9.957011259,9.987679671,8.542596349,9.393849206,11.60447036,12.04615385,10.56738926,8.226039783,6.283748925,5.845896147,PCDB,Price,Phthalic Anhydride,Global,World,World,Price (1966 USD/lbs)
Phthalic Anhydride_Annual production_World,331.4,315.2,355.8,301.3,357.9,401.1,379.8,427.4,458.6,557.5,608.3,675.2,727.5,743.8,760.0,734.0,794.4,933.0,PCDB,Annual production,Phthalic Anhydride,Global,World,World,Yearly Production (Mil. lbs)
