Country Code,Country Name,Technology Name,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CA,Canada,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0807036860939414,4.540997472535723,4.773379044568455,4.895773379044568,4.895773379044568,4.909186456795376,5.385350716949025,6.907114948210502,20.159948076447318,21.63086427057545,31.424675028674905,33.6729485338,39.7404258528,38.9874723938,41.3194151518,48.379036957400004,46.2163447458,49.9988,49.68,50.1088,53.268863312,49.100594131895896,48.38558828492249
MX,Mexico,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,US,Biofuels production,Petajoules,60.23786934343434,69.79943595959595,79.36100257575758,93.00141414141416,103.84661616161615,109.38257575757575,78.43060606060605,103.7958585858586,113.19954545454546,118.03166666666667,130.70752525252527,143.28463106696384,173.7332243375052,227.71622510172446,277.77384405663423,325.8773954384725,424.7258963000586,586.4379917031151,834.5043624811613,945.5175560467984,1114.201130489305,1242.7973381730453,1188.3915944797109,1240.362084284668,1312.5174898292457,1350.4076628839564,1437.2425332032706,1482.901949674425,1527.9842411243417,1486.157247239351,1348.517757011466,1435.8490173188034
AR,Argentina,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19154172560113156,0.382036775106082,0.382036775106082,0.382036775106082,0.3830834512022631,0.382036775106082,1.269620426328347,7.2282888960303024,25.604245629376972,43.074314980781764,71.6181992218944,93.04133578421184,95.40913450960511,85.81926638651042,110.10392604154369,84.46264034530465,117.96582352822561,130.43473276410114,114.13234323633691,102.78010371025974,60.27826209893778,85.60765200035736
BR,Brazil,Biofuels production,Petajoules,234.0189758591568,262.4688804051198,240.4747699435289,233.27830299398713,256.1911883476369,261.10084910967015,290.7066715667644,319.52527370017964,291.7471679564068,269.18471877301613,222.46271261515815,238.84007513291505,262.112995606887,302.1013766062331,304.68342393695355,333.2442598174983,370.0866005174433,478.487404886109,597.7396056720986,588.5944919960714,652.8297792036334,561.2463255793459,574.6117207824814,667.3541274356496,702.705383345824,753.9309069139558,709.6957394520132,713.9965584680791,857.9737669385198,917.6459702252679,882.4077164766261,839.4693336299887
CO,Colombia,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6175505050505051,5.654734916552855,6.080325711480308,6.298134663883537,13.113720057324137,18.90514919603904,23.898845304746914,26.20730153329054,27.134253413920845,28.212846101766644,28.887114930083825,28.10160625945163,25.753388327867462,32.17301947525511,28.715493805027897,26.991163896109235,28.823795659643714
AT,Austria,Biofuels production,Petajoules,0.2637684,0.2888892,0.32238360000000005,0.3642516,0.2428344,0.4689216,0.5107896,0.5526576,0.5945256,0.6531408000000001,0.7661669024045262,0.764073550212164,0.9550919377652051,1.146110325318246,2.106958981612447,3.056294200848656,4.584441301272984,9.27325554533178,11.144249568968563,15.425731971768606,16.154598,16.0528,16.0528,15.4098,13.5228,15.6816,17.2968,16.1026,15.884360000000001,15.922080000000001,16.478,17.36082057655165
BE,Belgium,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.638698504000001,15.298190388,17.664611616000002,18.72923112,18.390058452,24.077449440000002,16.16858424,15.572342052,18.654036192000003,17.767816236,18.804258576000002,19.482520176,19.429289246557378
FI,Finland,Biofuels production,Petajoules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5589100911881935,3.5698861254384457,9.694438048500507,12.618188945438446,8.697927185812816,11.037877243125127,13.840318886250254,15.463869127125127,18.040725986250255,4.633680396378405,13.05105415650454,11.886059398691726,14.220714682790861,12.716799610837606,12.10240024091381
FR,France,Biofuels production,Petajoules,0.0,0.0,0.09449607600000001,1.05256152,3.417936048,6.7009734000000005,9.642786552,11.543761224,10.791602604000001,11.344511412,13.593116088,13.560835860000001,14.525181504,15.948316692,16.7178924,27.006116040000002,28.318007952000002,47.20981251600001,87.04415815200001,97.40058476400002,94.949548308,94.478658912,110.260927116,102.79213646400001,103.97155802400002,110.54625753600001,101.13956463600002,98.457751764,111.642194304,103.54605354,96.777882,106.99017963552382
