ID,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Technology Name,Data Source,Country Name,Country Code,Spatial Scale,Unit,Metric
Cement_Annual production_US,2680400.0,3202400.0,4147600.0,4898000.0,5282700.0,6750300.0,8643600.0,8897800.0,9059000.0,11437000.0,13366000.0,13678000.0,14337000.0,15994000.0,15322000.0,14919000.0,15890000.0,16085000.0,12311000.0,13995000.0,17163000.0,16950000.0,19729000.0,23661000.0,25715000.0,27866000.0,28420000.0,29903000.0,30445000.0,29481000.0,27798000.0,21604000.0,13166000.0,10913000.0,13375000.0,13260000.0,19523000.0,20138000.0,18279000.0,21212000.0,22575000.0,28387000.0,31496000.0,22901000.0,15542000.0,17537000.0,28102000.0,31995000.0,35210000.0,35939000.0,38724000.0,41825000.0,42394000.0,45021000.0,46434000.0,52994000.0,56153000.0,52574000.0,54831000.0,59764000.0,56063000.0,56718000.0,58908000.0,61733000.0,64379000.0,65078000.0,67146000.0,64449000.0,68791000.0,71086000.0,67427000.0,71054000.0,74931000.0,77576000.0,73688000.0,61815000.0,66179000.0,70939000.0,76190000.0,76649000.0,68242000.0,65054000.0,57475000.0,63884000.0,70488000.0,70665000.0,71473000.0,70940000.0,69733000.0,70025000.0,69954000.0,66755000.0,69585000.0,73807000.0,77948000.0,76906000.0,79266000.0,82582000.0,83931000.0,85952000.0,87846000.0,88900000.0,89732000.0,92843000.0,97434000.0,99319000.0,98167000.0,95464000.0,86310000.0,63929000.0,66447000.0,67895000.0,74151000.0,76804000.0,82535000.0,84405000.0,84695000.0,86356000.0,86400000.0,87200000.0,Cement,USGS,United States,US,National,metric tons,Annual production
Cement_Price_World,78.0,88.0,100.0,110.0,87.0,95.0,110.0,110.0,89.0,86.0,93.0,93.0,84.0,99.8,90.3,83.6,98.8,104.0,104.0,97.2,98.8,102.0,101.0,106.0,100.0,95.0,91.1,88.3,86.8,82.5,82.2,69.8,70.8,98.2,110.0,105.0,101.0,95.6,95.5,98.9,98.4,95.5,88.9,86.3,88.9,86.5,84.3,81.4,86.5,92.4,93.2,93.4,91.6,95.9,98.8,103.0,108.0,109.0,108.0,108.0,109.0,107.0,105.0,101.0,99.3,96.5,92.9,90.7,87.6,84.11,82.8,84.34,88.5,89.96,97.64,104.9,108.2,109.0,113.5,115.4,111.9,103.7,95.8,91.0,89.7,84.7,81.5,78.1,75.5,72.0,69.0,66.4,64.3,63.6,68.1,72.6,73.6,74.6,76.5,76.6,74.4,70.4,68.9,66.4,68.6,75.9,82.1,81.8,78.4,75.2,68.8,64.9,63.5,66.5,69.2,73.3,75.4,77.8,78.5,78.1,Cement,USGS,World,World,Global,1998 USD/metric ton,Price
Cement_Annual production_World,,,,,,,,,,,,,,,,,,,,,,,,,,,62400000.0,67800000.0,72200000.0,74900000.0,72300000.0,62100000.0,49300000.0,48200000.0,58300000.0,65400000.0,62800000.0,82700000.0,85900000.0,93000000.0,81000000.0,88000000.0,80900000.0,71200000.0,54900000.0,49500000.0,72500000.0,85800000.0,102000000.0,115000000.0,133000000.0,149000000.0,161000000.0,178000000.0,194900000.0,217300000.0,235400000.0,246900000.0,262500000.0,294300000.0,316500000.0,333200000.0,358500000.0,378000000.0,415600000.0,433400000.0,464200000.0,479800000.0,515200000.0,543100000.0,571800000.0,590000000.0,661000000.0,702000000.0,703200000.0,702200000.0,735400000.0,797100000.0,853000000.0,872400000.0,883100000.0,886700000.0,887400000.0,916600000.0,941100000.0,959400000.0,1008000000.0,1053000000.0,1118000000.0,1149000000.0,1160000000.0,1182000000.0,1231000000.0,1291000000.0,1370000000.0,1445000000.0,1493000000.0,1547000000.0,1540000000.0,1600000000.0,1660000000.0,1750000000.0,1850000000.0,2020000000.0,2190000000.0,2350000000.0,2620000000.0,2810000000.0,2850000000.0,3050000000.0,3290000000.0,3630000000.0,3820000000.0,4030000000.0,4150000000.0,4060000000.0,4140000000.0,4100000000.0,4050000000.0,4130000000.0,Cement,USGS,World,World,Global,metric tons,Annual production
