ID,2009,2012,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_CL,12000,52000,64000,Lithium-Ion Battery Storage,Chile,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,CL
Lithium-Ion Battery Storage_Cumulative Rated Capacity_CL,12000,52000,64000,Lithium-Ion Battery Storage,Chile,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,CL
