ID,2012,2013,2014,2015,2016,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-ion battery storage_Cumulative Total Capacity_DE,227,972,49460,68374,166374,181374,Lithium-ion battery storage,Germany,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,DE
