ID,1968,1971,1979,1983,1997,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_PL,200000,356000,856000,1572000,1654800,Pumped Hydro Storage,Poland,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,PL
Pumped Hydro Storage_Cumulative Rated Capacity_PL,200000,356000,856000,1572000,1654800,Pumped Hydro Storage,Poland,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,PL
