ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Metric,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Unit
Concentrated Solar Power_Total Installed Cost_World,9422.31015097607,11101.355273863986,8579.399830906243,6730.502951385315,5777.235320062837,7717.902844977934,8112.564358409606,7679.200477486257,5507.914964858013,6900.055832185042,4746.073557010553,9090.909090909092,Total Installed Cost,Concentrated Solar Power,World,World,Global,IRENA,2021 USD/kW
Concentrated Solar Power_Levelized Cost of Energy_World,0.3580038087447288,0.34665465156749325,0.3375742026881033,0.24888832934371868,0.2163770664265318,0.223888998373017,0.24726917200286244,0.20621317032916725,0.14910278742798558,0.21183106022870074,0.10665299247284067,0.1142417466089722,Levelized Cost of Energy,Concentrated Solar Power,World,World,Global,IRENA,2021 USD/kWh
