ID,2011,2013,2014,2015,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-Acid Battery Storage_Cumulative Rated Power_AU,1000,4000,4184,4204,4289,Lead-Acid Battery Storage,Australia,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,AU
Lead-Acid Battery Storage_Cumulative Rated Capacity_AU,1000,4000,4184,4204,4289,Lead-Acid Battery Storage,Australia,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,AU
