ID,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Primary Alumninum_Price_World,0.472,0.483,0.473,0.58,0.593,0.511,0.481,0.48,0.451,0.456,0.463,0.426,0.35,0.283,0.264,0.258,0.251,0.225,0.201,0.198,0.215,0.221,0.222,0.222,0.237,0.243,0.26,0.277,0.282,0.269,0.265,0.252,0.215,0.226,0.211,0.218,0.221,0.215,0.213,0.21,Santa Fe Institute,Price,Primary Alumninum,Global,World,World,Price per Pound (1958 USD)
Primary Alumninum_Annual production_World,,115.0,89.0,52.0,43.0,37.0,60.0,112.0,146.0,143.0,164.0,206.0,309.0,521.0,920.0,776.0,495.0,410.0,572.0,623.0,603.0,719.0,837.0,937.0,1252.0,1461.0,1566.0,1679.0,1648.0,1566.0,1954.0,2014.0,1904.0,2118.0,2000.0,2866.0,2754.0,3028.0,3208.5,3255.0,Santa Fe Institute,Annual production,Primary Alumninum,Global,World,World,Yearly Production (Thousand Short Tons)
