ID,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Urea_Price_World,4.389795918,4.451381781,4.411463664,4.372689938,4.096348884,4.128968254,3.537414966,2.970192308,2.374175306,2.604882459,2.442820292,2.211892797,Santa Fe Institute,Price,Urea,Global,World,World,Price (1966 USD/lbs)
Urea_Annual production_World,915.0,1029.0,1106.0,1244.0,1395.0,1772.0,2180.0,2436.0,2976.0,3250.0,3181.0,3467.0,Santa Fe Institute,Annual production,Urea,Global,World,World,Yearly Production (Mil. lbs)
