ID,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Low-Density Polyethylene_Price_World,0.561,0.498,0.458,0.43,0.386,0.329,0.32,0.315,0.27,0.22,0.199,0.168,0.156,0.153,0.149,0.128,0.107,Santa Fe Institute,Price,Low-Density Polyethylene,Global,World,World,Price per Pound (1958 USD)
Low-Density Polyethylene_Annual production_World,,135.0,210.0,402.0,566.0,708.0,790.0,1080.0,1110.0,1320.0,1590.0,1750.0,1960.0,2260.0,2620.0,2760.0,3290.0,Santa Fe Institute,Annual production,Low-Density Polyethylene,Global,World,World,Yearly Production (Millon Pounds)
