ID,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Primary Magnesium_Price_World,1.186,0.974,0.67,0.746,0.763,0.711,0.704,0.702,0.674,0.683,0.625,0.615,0.477,0.424,0.361,0.352,0.343,0.307,0.275,0.258,0.259,0.274,0.286,0.28,0.301,0.301,0.324,0.361,0.362,0.352,0.347,0.341,0.337,0.333,0.329,0.323,0.318,0.309,0.306,0.296,Santa Fe Institute,Price,Primary Magnesium,Global,World,World,Quoted Price per Pound (1958 USD)
Primary Magnesium_Annual production_World,,587.0,500.0,500.0,1000.0,2000.0,2000.0,2000.0,2270.0,2410.0,5325.0,6261.0,16295.0,48963.0,183584.0,157100.0,32819.0,5290.0,12344.0,10003.0,11598.0,15726.0,40926.0,105776.0,93075.0,69729.0,61135.0,68356.0,81253.0,30096.0,31033.0,40070.0,40745.0,68955.0,75845.0,79488.0,81361.0,79794.0,97028.0,98000.0,Santa Fe Institute,Annual production,Primary Magnesium,Global,World,World,Yearly Production (Short Tons of Primary Production)
