ID,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Ethylene 2_Price_World,5.110429448,5.1,4.812691914,4.615148414,4.784394251,4.10851927,4.096230159,3.839650146,3.3,3.110273327,2.792947559,2.606190886,2.495812395,Santa Fe Institute,Price,Ethylene 2,Global,World,World,Price (1966 USD/lbs)
Ethylene 2_Annual production_World,5216.0,5488.0,6322.0,7150.0,8165.0,9037.0,10244.0,10866.0,13065.0,15827.0,17065.0,17475.0,20568.0,Santa Fe Institute,Annual production,Ethylene 2,Global,World,World,Yearly Production (Mil. lbs)
