ID,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Refined Cane Sugar Production_Price_World,0.116,0.1118,0.1087,0.1022,0.1088,0.0995,0.1059,0.1056,0.0988,0.0957,0.0924,0.0967,0.1108,0.097,0.1004,0.0995,0.0978,0.0984,0.0985,0.0972,0.0947,0.0935,0.094,0.0925,0.0916,0.091,0.09,0.091,0.1115,0.0977,0.0923,0.0913,0.0901,0.0886,Santa Fe Institute,Price,Refined Cane Sugar Production,Global,World,World,Price (1958 USD)
Refined Cane Sugar Production_Annual production_World,,8.0,7.0,12.0,10.0,8.0,12.0,8.0,9.0,11.0,10.0,6.0,12.0,11.0,11.0,10.0,11.0,13.0,13.0,12.0,13.0,9.0,12.0,15.0,11.0,14.0,12.0,18.0,8.0,14.0,16.0,11.0,18.0,13.0,Santa Fe Institute,Annual production,Refined Cane Sugar Production,Global,World,World,Yearly Production (Billion Pounds)
