Technology Name,Country Name,Metric,Unit,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,Data Source,Country Code,Spatial Scale,ID
Steamships,Global,Cumulative Total Capacity,MW,4.820470909797613,,,,,,,,,,58.068746705546616,,,,,,,,,,171.99199188254562,,,,,,,,,,394.2207337073204,,,,,,,,,,1116.3679759070951,,,,,,,,,,1775.28107981647,,,,,,,,,,3335.49457819147,,,,,,,,,,6537.01031212897,,,,,,,,,,11279.616576941471,,,,,,,,,,19525.07241356647,,,,,,,,,,34419.88816960555,,,,,,,,,,52280.022602143275,,,,,,,,,,70582.73487902,,,,,,,,,,,IIASA,World,Global,Steamships_Cumulative Total Capacity_World
Steamships,Global,Cumulative Total No. of Units, #,8.0,,,,,,,,,,289.3333333333333,,,,,,,,,,1151.3433333333332,,,,,,,,,,4162.175930735931,,,,,,,,,,9939.875400432902,,,,,,,,,,15948.876500800961,,,,,,,,,,23500.402052916328,,,,,,,,,,34187.8064004392,,,,,,,,,,48955.026215399186,,,,,,,,,,65874.43698078328,,,,,,,,,,95531.62370203348,,,,,,,,,,133590.73280943066,,,,,,,,,,165218.36666770573,,,,,,,,,,,IIASA,World,Global,Steamships_Cumulative Total No. of Units_World
Steamships,Global, Average Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07580915796326775,,,,,,,,,,0.11736488304673173,,,,,,,,,,0.11282750807203502,,,,,,,,,,0.20072277856063564,,,,,,,,,,0.3148510980830557,,,,,,,,,,0.33984422963716676,,,,,,,,,,0.47794861383897497,,,,,,,,,,0.5214657165812457,,,,,,,,,,0.4894285752727702,,,,,,,,,,0.5692747599801469,,,,,,,,,,0.42444843385838604,IIASA,World,Global,Steamships_ Average Capacity of Unit Additions_World
Steamships,Global,Maximum Capacity of Unit Additions,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIASA,World,Global,Steamships_Maximum Capacity of Unit Additions_World
