Technology Name,Country Name,Metric,Unit,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,Data Source,Country Code,Spatial Scale,ID
Passenger Cars,US,Cumulative Total Capacity,MW,0.0,0.9307037065148639,4.47270303179504,12.81465176744192,39.40992382944109,80.71095081860716,155.43594985601155,278.53411269299556,502.6664106070864,1030.4544292774654,1944.8939976974136,3137.060970248842,5596.133634674201,9172.523491183663,13917.954200505967,22866.28995213186,39377.68550051871,60408.78616212742,74777.18789739317,99840.89354301698,132080.8343681692,157330.36256189816,200082.46765443694,272755.2335070105,342126.70952723874,429691.9662345833,523568.80469176173,602328.6349551574,709171.8319073792,847384.5447159088,939217.3944690435,1007646.9873999627,1047884.8390746762,1107797.4959486674,1198722.3684076804,1336771.1497974312,1498854.273141875,1681646.1082659594,1780825.309529149,1928615.0132777097,2120229.3916284875,2335794.3742636195,2383960.5065861703,2417539.133417631,2454253.676192403,2491617.3604401485,2656967.140393506,2921446.3778571216,3219022.443690282,3586588.7843444673,4073028.223702356,4496515.230346975,4855853.352311752,5345040.705711276,5793073.24243592,6442311.572815388,6944312.803348789,7482922.539497172,7875489.602139923,8404860.919311173,9043852.746040238,9594447.320922095,10288729.822928656,11077938.640251126,11902599.062075956,12911273.240126071,13864651.676847097,14702173.508030286,15718110.817042993,16687016.941107832,17481839.483855907,18414451.817064498,19372292.528653435,20441475.834601346,21223978.981620345,21888932.754037727,22742936.518706277,23668927.627221905,24515453.5074976,25287096.82062564,25769888.41252156,26234344.17332622,26607368.344818916,27136448.14027305,27753880.61289821,28423276.82632079,29075258.216029886,29677874.04221596,30308586.058548473,30946109.834861994,31566299.07820664,32116439.49800696,32749460.229121737,33476674.172032632,34335896.22846947,35181370.55012467,36024675.63228125,36902100.98603799,37788061.28082587,38779441.7885261,39775197.90384143,40665982.019206375,41651917.46936725,42639221.68551815,43655035.043135025,44683418.64844342,IIASA,US,National,Passenger Cars_Cumulative Total Capacity_US
Passenger Cars,World,Cumulative Total Capacity,MW,0.0,1.0805392347545921,5.473023132154106,16.447669169563,49.55200556501011,102.48453383219268,197.67568388950048,338.8648831896501,592.1054739148674,1170.3065948928313,2156.2260802175056,3455.393846918034,6064.388109877607,9844.482546056717,14642.05629656745,23687.935924067566,40342.021691215996,61695.77447997626,76377.99041250607,101850.21610021232,134651.56152636855,160439.40581052843,204328.5845756728,278740.208972695,350528.85995078844,441445.07403991546,539438.9327642112,622929.2797597154,735650.2080277724,880711.3664343122,978101.3114999566,1051366.1186078663,1096206.259648604,1162272.330075396,1261437.6499224158,1410074.1852409262,1584700.0540216514,1782368.1752460306,1896511.717513586,2056735.0581216759,2253667.2821940593,2474616.9097246667,2528040.8522451012,2566235.6433654013,2607224.3971039616,2649879.8728866368,2826904.1403423906,3107018.8049794803,3424811.3119726744,3820441.7712287037,4348222.821952987,4817626.672295534,5225756.860447729,5772407.326030383,6289803.443906065,7027585.986052358,7624042.660395646,8270858.495488801,8795399.115804838,9481270.617794618,10309809.940330999,11051620.74247349,11977533.220195593,13044966.21883193,14178428.015777588,15517708.912531245,16840388.87179089,18063510.561571717,19526827.933462568,21031297.050561737,22427576.26045502,24045825.341484692,25771711.02127527,27716464.22015649,29347048.25339737,30858241.52152091,32665053.03001671,34641918.934785984,36589687.90067614,38523771.79103957,40200729.07375248,41788042.18182371,43322150.53537539,45118518.11629387,46990754.80906933,49020305.01306011,51070186.669515535,53166325.378066085,55401596.140362926,57732085.64307083,60091938.01267113,62390529.142709464,64816912.06275019,67231830.108897,69891886.92950957,72602871.42039308,75425650.54700814,78401456.38382226,81392764.95680195,84663417.11274764,88080152.5779591,91332971.71540831,94774542.68399075,98363546.46309412,102158676.32497174,106121446.0756872,IIASA,World,World,Passenger Cars_Cumulative Total Capacity_World
