Technology Name,Country Name,Metric,Unit,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,Data Source,Country Code,Spatial Scale,ID
Hydro Power,Global,Cumulative Total Capacity,MW,0.32,0.32,0.32,0.32,0.69,0.69,0.69,0.7999999999999999,0.7999999999999999,5.3,5.56,6.359999999999999,6.359999999999999,10.64,25.04,30.13,62.36,63.16,72.13,79.50999999999999,93.125,166.17499999999998,242.065,360.486,537.006,683.371,841.917,969.707,1201.393,1618.82898,1910.88998,2537.19198,2882.07298,3312.6699799999997,3677.46998,4019.05498,4271.57598,4597.38898,5158.32198,5952.172979999999,6597.8299799999995,7387.2359799999995,8435.61098,10096.80698,11048.382979999998,12431.612979999998,14158.696979999999,15409.01796,17410.16796,19365.498949999997,20703.729949999997,21412.582949999996,22268.957949999996,23157.266949999997,25170.66395,26536.553949999998,28276.547949999996,30428.482949999998,31925.445949999998,35362.99795,37727.44394999999,42039.28994999999,44046.65694999999,45014.38994999999,45494.57993999999,47015.48192999999,48603.63192999999,52106.01592999999,56356.04992999999,61076.35892999999,66357.74291999999,72307.17391999999,78440.59191999999,89266.88390999999,98373.03790999998,105916.14790999999,119438.90091,131614.68289,142200.54386,153350.44681,164592.1968,177274.44279000003,188192.19879000002,200203.31577000002,215873.03377,230424.95575000002,245314.74975000002,261612.61975,276724.00475,292630.27474,307219.52674,328768.92074,346210.27274,360038.49773,379820.57872,397855.28069,420471.31367999996,438033.00567999994,459313.78563999996,476655.16464,498170.17762,513639.53062,537751.1576,555442.79358,573315.58255,592410.70149,606765.84848,618735.8814300001,627144.5244100001,636121.12936,649192.58734,659898.0773199999,676028.7433099999,689196.0443099999,698950.8562899999,709319.7522899999,720968.3042599999,735325.9262599999,749203.4112599998,763075.3062599999,776527.7862599998,796637.8362599999,821409.9362599999,845519.5962599999,IIASA,World,Global,Hydro Power_Cumulative Total Capacity_World
Hydro Power,Global,Cumulative Total No. of Units, #,2.0,2.0,2.0,2.0,4.0,4.0,4.0,6.0,6.0,15.0,17.0,18.0,18.0,21.0,35.0,45.0,80.0,81.0,110.0,124.0,152.0,198.0,242.0,302.0,367.0,422.0,506.0,578.0,693.0,806.0,902.0,1039.0,1131.0,1220.0,1319.0,1408.0,1492.0,1568.0,1725.0,1862.0,2006.0,2171.0,2353.0,2628.0,2766.0,2963.0,3164.0,3345.0,3533.0,3690.0,3790.0,3845.0,3921.0,4008.0,4149.0,4261.0,4388.0,4537.0,4700.0,4869.0,5007.0,5224.0,5370.0,5449.0,5513.0,5641.0,5805.0,6070.0,6362.0,6642.0,6980.0,7343.0,7710.0,8172.0,8579.0,9031.0,9524.0,9937.0,10311.0,10665.0,11061.0,11520.0,11885.0,12240.0,12607.0,12984.0,13313.0,13605.0,13881.0,14183.0,14421.0,14738.0,14987.0,15244.0,15509.0,15743.0,16036.0,16308.0,16615.0,16938.0,17407.0,17915.0,18544.0,19092.0,19772.0,20324.0,20878.0,21375.0,21849.0,22183.0,22564.0,22890.0,23253.0,23584.0,23815.0,24053.0,24266.0,24554.0,24796.0,24966.0,25107.0,25260.0,25396.0,25510.0,IIASA,World,Global,Hydro Power_Cumulative Total No. of Units_World
Hydro Power,Global, Average Capacity of Unit Additions,MW,0.16,0.0,0.0,0.0,0.185,0.0,0.0,0.055,0.0,0.5,0.13,0.8,0.0,1.4266666666666667,1.0285714285714287,0.509,0.9208571428571429,0.8,0.3093103448275862,0.5271428571428571,0.48625000000000007,1.5880434782608692,1.7247727272727273,1.9736833333333332,2.7156923076923074,2.6611818181818183,1.8874523809523815,1.774861111111111,2.0146608695652173,3.6941237168141594,3.042302083333333,4.571547445255475,3.74870652173913,4.838168539325842,3.6848484848484873,3.838033707865169,3.006202380952381,4.287013157894736,3.572821656050954,5.794532846715329,4.4837291666666665,4.784278787878789,5.760302197802198,6.0407127272727275,6.895478260869563,7.021472081218274,8.592457711442789,6.907850718232045,10.64441489361702,12.454337515923568,13.382309999999997,12.888236363636365,11.26809210526316,10.21044827586207,14.279411347517732,12.19544642857143,13.700740157480318,14.442516778523496,9.18382208588957,20.34054437869823,17.133666666666663,19.870258064516133,13.749089041095893,12.249784810126581,7.50296859375,11.882046796874999,9.683841463414634,13.216543396226415,14.554910958904108,16.858246428571427,15.625396420118339,16.389617079889803,16.712310626703,23.433532445887447,22.373842751842748,16.688296460176993,27.429519269776886,29.481312300242116,28.30444109625669,31.496900988700563,28.388257550505053,27.63016555555559,29.9116602739726,33.83413233802817,42.69677929155315,38.599262546419105,45.25773252279635,55.81462328767124,54.75139492753624,52.669768178807956,61.29937815126051,67.97916088328076,70.04559036144578,53.80632291828793,74.6493622264151,77.07137594017095,77.18782590443686,64.56504411764706,69.31850149837133,53.68847987616099,45.8742281023454,30.451482283464568,38.33327023847377,32.28400726277373,26.28351319117647,34.59260677536232,25.91181767148014,24.084573340040244,17.73975312236287,26.876062724550895,34.30828866141731,32.8389263190184,44.43709639118458,39.78036555891239,42.228623290043295,43.56678991596639,54.68803741784036,49.85285416666665,57.344979338842975,81.59938235294116,95.40765957446808,131.43823529411762,182.14779411764704,211.4882456140351,IIASA,World,Global,Hydro Power_ Average Capacity of Unit Additions_World
Hydro Power,Global,Maximum Capacity of Unit Additions,MW,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.08,0.0,0.6,0.13,0.8,0.0,3.0,5.8,1.2,1.8,0.8,0.8,1.0,1.0,8.25,7.5,19.6,8.77,13.0,8.77,8.77,10.4,16.0,15.0,20.0,16.0,63.0,15.725,24.0,20.0,20.0,30.0,63.5,34.7,34.0,63.5,31.0,43.0,54.5,55.0,45.0,55.0,48.0,72.0,72.0,72.0,72.0,130.0,130.0,130.0,130.0,70.7,630.0,130.0,554.0,108.0,108.0,48.0,95.0,125.0,125.0,98.0,96.9,130.0,107.0,97.8,126.0,123.0,114.0,321.5,148.5,148.5,200.0,200.0,225.0,165.0,165.0,250.0,500.0,500.0,500.0,500.0,500.0,500.0,503.5,500.0,600.0,600.0,434.0,805.0,805.0,805.0,650.0,335.0,730.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,432.0,432.0,502.0,502.0,502.0,502.0,550.0,550.0,400.0,600.0,600.0,600.0,730.0,1500.0,IIASA,World,Global,Hydro Power_Maximum Capacity of Unit Additions_World
